"Subsidiary","Month","Year","Ridership"
"RTS Livingston","3","2023","7,528"
"RTS Livingston","4","2023","7,813"
"RTS Livingston","5","2023","7,003"
"RTS Livingston","6","2023","3,193"
"RTS Livingston","7","2023","3,566"
"RTS Livingston","8","2023","4,247"
"RTS Livingston","9","2023","6,276"
"RTS Livingston","10","2023","6,596"
"RTS Livingston","11","2023","6,043"
"RTS Livingston","12","2023","5,376"
"RTS Ontario","1","2023","10,555"
"RTS Ontario","2","2023","10,444"
"RTS Ontario","3","2023","12,384"
"RTS Ontario","4","2023","11,046"
"RTS Ontario","5","2023","12,595"
"RTS Ontario","6","2023","12,233"
"RTS Ontario","7","2023","11,955"
"RTS Ontario","8","2023","14,560"
"RTS Ontario","9","2023","13,365"
"RTS Ontario","10","2023","14,220"
"RTS Ontario","11","2023","13,899"
"RTS Ontario","12","2023","10,953"
"RTS Orleans","1","2023","2,239"
"RTS Orleans","2","2023","2,198"
"RTS Orleans","3","2023","2,821"
"RTS Orleans","4","2023","2,409"
"RTS Orleans","5","2023","2,746"
"RTS Orleans","6","2023","2,624"
"RTS Orleans","7","2023","2,495"
"RTS Orleans","8","2023","2,546"
"RTS Orleans","9","2023","2,372"
"RTS Orleans","10","2023","2,527"
"RTS Orleans","11","2023","2,351"
"RTS Orleans","12","2023","2,258"
"RTS Seneca","1","2023","3,147"
"RTS Seneca","2","2023","2,961"
"RTS Seneca","3","2023","3,624"
"RTS Seneca","4","2023","3,078"
"RTS Seneca","5","2023","3,516"
"RTS Seneca","6","2023","3,735"
"RTS Seneca","7","2023","3,320"
"RTS Seneca","8","2023","3,888"
"RTS Seneca","9","2023","3,271"
"RTS Seneca","10","2023","3,732"
"RTS Seneca","11","2023","3,805"
"RTS Seneca","12","2023","3,584"
"RTS Wayne","1","2023","6,764"
"RTS Wayne","2","2023","6,362"
"RTS Wayne","3","2023","7,204"
"RTS Wayne","4","2023","6,473"
"RTS Wayne","5","2023","6,754"
"RTS Wayne","6","2023","7,617"
"RTS Wayne","7","2023","7,345"
"RTS Wayne","8","2023","10,366"
"RTS Wayne","9","2023","14,865"
"RTS Wayne","10","2023","10,258"
"RTS Wayne","11","2023","7,526"
"RTS Wayne","12","2023","7,316"
"RTS Wyoming","1","2023","3,815"
"RTS Wyoming","2","2023","3,318"
"RTS Wyoming","3","2023","3,629"
"RTS Wyoming","4","2023","3,052"
"RTS Wyoming","5","2023","3,246"
"RTS Wyoming","6","2023","2,983"
"RTS Wyoming","7","2023","2,459"
"RTS Wyoming","8","2023","2,701"
"RTS Wyoming","9","2023","3,019"
"RTS Wyoming","10","2023","9,112"
"RTS Wyoming","11","2023","2,860"
"RTS Wyoming","12","2023","2,829"
"Regional Transit Service","1","2024","866,294"
"Regional Transit Service","2","2024","869,623"
"Regional Transit Service","3","2024","913,503"
"Regional Transit Service","4","2024","858,979"
"Regional Transit Service","5","2024","992,031"
"Regional Transit Service","6","2024","880,805"
"Regional Transit Service","7","2024","878,264"
"Regional Transit Service","8","2024","899,578"
"Regional Transit Service","9","2024","1,003,971"
"Regional Transit Service","10","2024","1,067,541"
"Regional Transit Service","11","2024","926,824"
"Regional Transit Service","12","2024","901,670"
"RTS Access","1","2024","15,535"
"RTS Access","2","2024","15,125"
"RTS Access","3","2024","16,132"
"RTS Access","4","2024","15,717"
"RTS Access","5","2024","16,537"
"RTS Access","6","2024","15,183"
"RTS Access","7","2024","15,443"
"RTS Access","8","2024","15,300"
"RTS Access","9","2024","14,031"
"RTS Access","10","2024","15,714"
"RTS Access","11","2024","12,608"
"RTS Access","12","2024","12,654"
"RTS Genesee","1","2024","2,846"
"RTS Genesee","2","2024","3,172"
"RTS Genesee","3","2024","3,010"
"RTS Genesee","4","2024","3,254"
"RTS Genesee","5","2024","2,641"
"RTS Genesee","6","2024","2,046"
"RTS Genesee","7","2024","2,580"
"RTS Genesee","8","2024","2,538"
"RTS Genesee","9","2024","2,686"
"RTS Genesee","10","2024","3,351"
"RTS Genesee","11","2024","3,744"
"RTS Genesee","12","2024","3,813"
"RTS Livingston","1","2024","4,745"
"RTS Livingston","2","2024","7,878"
"RTS Livingston","3","2024","6,790"
"RTS Livingston","4","2024","9,283"
"RTS Livingston","5","2024","6,975"
"RTS Livingston","6","2024","2,759"
"RTS Livingston","7","2024","3,458"
"RTS Livingston","8","2024","4,169"
"RTS Livingston","9","2024","8,087"
"RTS Livingston","10","2024","11,396"
"RTS Livingston","11","2024","8,856"
"RTS Livingston","12","2024","6,100"
"RTS Ontario","1","2024","11,871"
"RTS Ontario","2","2024","12,513"
"RTS Ontario","3","2024","12,486"
"RTS Ontario","4","2024","13,228"
"RTS Ontario","5","2024","13,550"
"RTS Ontario","6","2024","11,435"
"RTS Ontario","7","2024","12,972"
"RTS Ontario","8","2024","13,016"
"RTS Ontario","9","2024","12,482"
"RTS Ontario","10","2024","14,286"
"RTS Ontario","11","2024","12,385"
"RTS Ontario","12","2024","12,669"
"RTS Orleans","1","2024","2,287"
"RTS Orleans","2","2024","2,408"
"RTS Orleans","3","2024","2,595"
"RTS Orleans","4","2024","2,676"
"RTS Orleans","5","2024","2,851"
"RTS Orleans","6","2024","2,733"
"RTS Orleans","7","2024","2,587"
"RTS Orleans","8","2024","2,608"
"RTS Orleans","9","2024","2,302"
"RTS Orleans","10","2024","2,688"
"RTS Orleans","11","2024","2,436"
"RTS Orleans","12","2024","2,371"
"RTS Seneca","1","2024","3,775"
"RTS Seneca","2","2024","3,961"
"RTS Seneca","3","2024","4,044"
"RTS Seneca","4","2024","4,100"
"RTS Seneca","5","2024","3,895"
"RTS Seneca","6","2024","3,847"
"RTS Seneca","7","2024","4,343"
"RTS Seneca","8","2024","4,087"
"RTS Seneca","9","2024","3,827"
"RTS Seneca","10","2024","4,438"
"RTS Seneca","11","2024","3,900"
"RTS Seneca","12","2024","3,638"
"RTS Wayne","1","2024","7,408"
"RTS Wayne","2","2024","7,499"
"RTS Wayne","3","2024","7,579"
"RTS Wayne","4","2024","7,887"
"RTS Wayne","5","2024","8,954"
"RTS Wayne","6","2024","7,916"
"RTS Wayne","7","2024","9,215"
"RTS Wayne","8","2024","12,764"
"RTS Wayne","9","2024","13,867"
"RTS Wayne","10","2024","10,126"
"RTS Wayne","11","2024","7,507"
"RTS Wayne","12","2024","7,832"
"RTS Wyoming","1","2024","3,565"
"RTS Wyoming","2","2024","3,296"
"RTS Wyoming","3","2024","3,495"
"RTS Wyoming","4","2024","3,356"
"RTS Wyoming","5","2024","3,502"
"RTS Wyoming","6","2024","3,199"
"RTS Wyoming","7","2024","2,919"
"RTS Wyoming","8","2024","2,852"
"RTS Wyoming","9","2024","3,378"
"RTS Wyoming","10","2024","3,925"
"RTS Wyoming","11","2024","3,421"
"RTS Wyoming","12","2024","3,505"
