Station ID,Station Name,Description,County,Route,From Milepoint,To Milepoint,Functional Class,Latitude,Longitude,Year,Stat Type,AADT,AAWDT,Single-Unit Truck AADT,Combo-Unit Truck AADT,K-Factor,D-Factor,Station Type
#350406000000,350406,NY96 from CR 113 to Seneca/Ont Co Line,Seneca,,33.71,35.92,Rural:Minor Arterial,42.93207,-76.94176,2024,Actual,4267,,246,50,0.12,0.54,Short Term
#350407000000,350407,US20 from RT 96A to RT 96 WATERLOO,Seneca,,1.03,5.74,Urban:Principal Arterial - Other,42.89541,-76.90992,2024,Actual,8864,,468,114,0.11,0.52,Short Term
#350410000000,350410,NY96A from CR 125 - EAST LAKE ROAD to CR 119 RIVER RD (N),Seneca,,25.41,26.31,Rural:Major Collector,42.86604,-76.93702,2024,Actual,6117,,247,143,0.08,0.51,Short Term
#350411000000,350411,NY96A from CR 120 - YELLOW TAVERN ROAD to CR 125 - EAST LAKE ROAD,Seneca,,24.07,25.41,Rural:Major Collector,42.85211,-76.91888,2024,Estimated,4679,,,,0.09,0.5,Short Term
#350413000000,350413,NY96A from CR 147 to RT 336,Seneca,,16.52,21.18,Rural:Major Collector,42.7596,-76.89639,2024,Actual,3144,,253,65,0.09,0.51,Short Term
#350414000000,350414,NY336 from RT 96A E OF VARICH to RT 96,Seneca,,0,2.82,Rural:Minor Collector,42.80714,-76.86036,2024,Actual,1197,,91,22,0.12,0.58,Short Term
#350416000000,350416,NY96 from NORTH RD/VIRGINIA ST to CR 113,Seneca,,30.52,33.71,Rural:Minor Arterial,42.916397,-76.867611,2024,Actual,5228,,236,44,0.13,0.51,Short Term
#350418000000,350418,US20 from RT 96 WATERLOO to BEG 20/5&414 REV OLAP,Seneca,,5.74,7.25,Urban:Principal Arterial - Other,42.90185,-76.84582,2024,Actual,9309,,402,120,0.1,0.55,Short Term
#350419000000,350419,US20 from BEG 20/5&414 REV OLAP to END 20/5&414 REV OLAP,Seneca,,7.25,9.38,Urban:Principal Arterial - Other,42.90997,-76.8165,2024,Actual,10889,,437,93,0.11,0.54,Short Term
#350420000000,350420,NY96 from RT 336 to CR 121,Seneca,,22.8,25.8,Rural:Major Collector,42.84429,-76.84932,2024,Actual,2507,,224,86,0.09,0.58,Short Term
#350424000000,350424,US20 from RT 318 to RT 89,Seneca,,12.46,12.54,Rural:Principal Arterial - Other,42.948984,-76.768318,2024,Actual,9792,,464,538,0.13,0.51,Short Term
#350425000000,350425,NY414 from RT 318 to ACC RT 90I INTER 41,Seneca,,32.71,33.16,Rural:Minor Arterial,42.96204,-76.84639,2024,Estimated,12383,,,,0.08,0.52,Short Term
#350426000000,350426,NY89 from CR 116 LAKE RD to RTS 5 & 20,Seneca,,28.61,31.17,Rural:Major Collector,42.93774,-76.76015,2024,Estimated,2804,,,,0.1,0.56,Short Term
#350427000000,350427,NY414 from ACC RT 90I INTER 41 to Seneca/Wayne Co Line,Seneca,,33.16,36.73,Rural:Major Collector,42.99395,-76.85265,2024,Actual,2794,,218,100,0.12,0.55,Short Term
#350428000000,350428,NY31 from Wayne/Seneca Co Line to Seneca/Cayuga Co Line,Seneca,,0,1.71,Rural:Minor Arterial,43.02219,-76.74045,2024,Estimated,1992,,,,0.1,0.55,Short Term
#350429000000,3580,NY414 from BEG 20/5&414 REV OLAP to RT 318,Seneca,,28.53,32.71,Rural:Minor Arterial,42.94736,-76.84418,2024,Actual,5773,5869,194,495,0.1,0.5,CCS
#350430000000,350430,NY414 from RT 336 to END 20/5&414 REV OLAP,Seneca,,19.37,26.4,Rural:Minor Arterial,42.853436,-76.804503,2024,Actual,3036,,329,83,0.08,0.52,Short Term
#351101000000,351101,CR117A CR117A from CR 117 to US 20,Seneca,CR117A,0,0.11,Rural:Minor Arterial,42.90225,-76.83594,2024,Actual,6977,,317,8,0.1,0.53,Short Term
#351102000000,351102,CR148 CAYUGA ST from NY 96 to NY 414,Seneca,CAYUGA ST,0,0.81,Rural:Minor Collector,42.75231,-76.8296,2024,Actual,708,,,,0.14,0.58,Short Term
#351200000000,351200,SPRING ST from CHAPIN ST to E BAYARD ST,Seneca,SPRING ST,0,0.28,Urban:Major Collector,42.90556,-76.79474,2024,Estimated,249,,,,0.14,0.64,Short Term
#351201000000,351201,MEMORIAL DAY PL from MAIN ST to WILLIAMS ST,Seneca,MEMORIAL DAY PL,0,0.07,Urban:Major Collector,42.905022,-76.866582,2024,Actual,1197,,52,0,0.12,0.53,Short Term
#351203000000,351203,SWIFT ST from E WRIGHT AVE to NORTH RD,Seneca,SWIFT ST,0.51,0.72,Urban:Major Collector,42.911216,-76.854749,2024,Actual,1468,,78,1,0.11,0.52,Short Term
