"GEOID","year","variable","Variable_Description","estimate","moe","moe_pct_of_estimate","County","Geography","State","count"
"36069",2021,"B17001C_FemPov","American Indian and Alaska Native alone",17.3913043478261,25,143.75,"Ontario","Ontario County","New York",16
"36069",2021,"B17001D_FemPov","Asian alone",1.82440136830103,2.05245153933865,112.5,"Ontario","Ontario County","New York",16
"36069",2021,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Ontario County","New York",0
"36069",2021,"B17001F_FemPov","Some Other Race alone",24.4186046511628,18.1686046511628,74.4047619047619,"Ontario","Ontario County","New York",168
"36069",2021,"B17001G_FemPov","Two or More Races",23.0508474576271,9.83050847457627,42.6470588235294,"Ontario","Ontario County","New York",408
"36069",2021,"B17001H_FemPov","White alone, not Hispanic or Latino",8.38204278397108,1.15496635532791,13.7790558351306,"Ontario","Ontario County","New York",4173
"36069",2021,"B17001I_FemPov","Hispanic or Latino",22.0304975922953,7.90529695024077,35.8834244080146,"Ontario","Ontario County","New York",549
"36069",2022,"B17001B_FemPov","Black or African American alone",17.0923379174853,9.92141453831041,58.0459770114943,"Ontario","Ontario County","New York",174
"36069",2022,"B17001C_FemPov","American Indian and Alaska Native alone",17.7777777777778,28.8888888888889,162.5,"Ontario","Ontario County","New York",8
"36069",2022,"B17001D_FemPov","Asian alone",2.92682926829268,3.41463414634146,116.666666666667,"Ontario","Ontario County","New York",24
"36069",2022,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Ontario County","New York",0
"36069",2022,"B17001F_FemPov","Some Other Race alone",30.3066037735849,19.5754716981132,64.591439688716,"Ontario","Ontario County","New York",257
"36069",2022,"B17001G_FemPov","Two or More Races",27.4978279756733,12.9018245004344,46.9194312796209,"Ontario","Ontario County","New York",633
"36069",2022,"B17001H_FemPov","White alone, not Hispanic or Latino",8.61586503366047,1.17608889609863,13.6502706519181,"Ontario","Ontario County","New York",4249
"36069",2022,"B17001I_FemPov","Hispanic or Latino",22.2135619641465,7.09275136399065,31.9298245614035,"Ontario","Ontario County","New York",570
"36069",2023,"B17001B_FemPov","Black or African American alone",17.717206132879,10.1362862010221,57.2115384615385,"Ontario","Ontario County","New York",208
"36069",2023,"B17001C_FemPov","American Indian and Alaska Native alone",45.945945945946,56.7567567567568,123.529411764706,"Ontario","Ontario County","New York",17
"36069",2023,"B17001D_FemPov","Asian alone",2.11081794195251,2.5065963060686,118.75,"Ontario","Ontario County","New York",16
"36069",2023,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Ontario County","New York",0
"36069",2023,"B17001F_FemPov","Some Other Race alone",20.360824742268,14.9484536082474,73.4177215189873,"Ontario","Ontario County","New York",158
"36069",2023,"B17001G_FemPov","Two or More Races",25.3215729511209,13.1936787945608,52.1044992743106,"Ontario","Ontario County","New York",689
"36069",2023,"B17001H_FemPov","White alone, not Hispanic or Latino",8.86443589953367,1.29059968911069,14.5592985694509,"Ontario","Ontario County","New York",4334
"36069",2023,"B17001I_FemPov","Hispanic or Latino",21.2691771269177,7.32217573221757,34.4262295081967,"Ontario","Ontario County","New York",610
"36069",2024,"B17001B_FemPov","Black or African American alone",16.6304347826087,9.78260869565217,58.8235294117647,"Ontario","Ontario County","New York",153
"36069",2024,"B17001C_FemPov","American Indian and Alaska Native alone",51.5151515151515,66.6666666666667,129.411764705882,"Ontario","Ontario County","New York",17
"36069",2024,"B17001D_FemPov","Asian alone",2.49687890137328,2.74656679151061,110,"Ontario","Ontario County","New York",20
"36069",2024,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Ontario","Ontario County","New York",0
"36069",2024,"B17001F_FemPov","Some Other Race alone",27.1400778210117,15.6614785992218,57.7060931899642,"Ontario","Ontario County","New York",279
"36069",2024,"B17001G_FemPov","Two or More Races",21.5252152521525,8.82533825338253,41,"Ontario","Ontario County","New York",700
"36069",2024,"B17001H_FemPov","White alone, not Hispanic or Latino",8.48142497835319,1.06378592339092,12.5425376762275,"Ontario","Ontario County","New York",4114
"36069",2024,"B17001I_FemPov","Hispanic or Latino",26.4188516428808,6.63790242283438,25.1256281407035,"Ontario","Ontario County","New York",796
"36073",2017,"B17001B_FemPov","Black or African American alone",31.2348668280872,11.501210653753,36.8217054263566,"Orleans","Orleans County","New York",258
"36073",2017,"B17001C_FemPov","American Indian and Alaska Native alone",25.4237288135593,30.5084745762712,120,"Orleans","Orleans County","New York",15
"36073",2017,"B17001D_FemPov","Asian alone",22.8813559322034,14.4067796610169,62.962962962963,"Orleans","Orleans County","New York",27
"36073",2017,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,600,NA,"Orleans","Orleans County","New York",0
"36073",2017,"B17001F_FemPov","Some Other Race alone",90.2578796561605,58.7392550143267,65.0793650793651,"Orleans","Orleans County","New York",315
"36073",2017,"B17001G_FemPov","Two or More Races",23.2294617563739,21.8130311614731,93.9024390243902,"Orleans","Orleans County","New York",82
"36073",2017,"B17001H_FemPov","White alone, not Hispanic or Latino",15.4901285583104,2.07759412304867,13.4123749536866,"Orleans","Orleans County","New York",2699
"36073",2017,"B17001I_FemPov","Hispanic or Latino",64.9651972157773,14.7331786542923,22.6785714285714,"Orleans","Orleans County","New York",560
"36073",2018,"B17001B_FemPov","Black or African American alone",35.5203619909502,20.3619909502262,57.3248407643312,"Orleans","Orleans County","New York",314
"36073",2018,"B17001C_FemPov","American Indian and Alaska Native alone",18.9189189189189,20.2702702702703,107.142857142857,"Orleans","Orleans County","New York",14
"36073",2018,"B17001D_FemPov","Asian alone",19.1666666666667,15,78.2608695652174,"Orleans","Orleans County","New York",23
"36073",2018,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York",0
"36073",2018,"B17001F_FemPov","Some Other Race alone",89.5674300254453,42.4936386768448,47.4431818181818,"Orleans","Orleans County","New York",352
"36073",2018,"B17001G_FemPov","Two or More Races",30.0613496932515,19.9386503067485,66.3265306122449,"Orleans","Orleans County","New York",98
"36073",2018,"B17001H_FemPov","White alone, not Hispanic or Latino",13.1070222429254,1.81087690695237,13.8160817414482,"Orleans","Orleans County","New York",2251
"36073",2018,"B17001I_FemPov","Hispanic or Latino",64,17.75,27.734375,"Orleans","Orleans County","New York",512
"36073",2019,"B17001B_FemPov","Black or African American alone",35.3675450762829,17.6144244105409,49.8039215686274,"Orleans","Orleans County","New York",255
"36073",2019,"B17001C_FemPov","American Indian and Alaska Native alone",20.6896551724138,22.4137931034483,108.333333333333,"Orleans","Orleans County","New York",12
"36073",2019,"B17001D_FemPov","Asian alone",2.58620689655172,4.31034482758621,166.666666666667,"Orleans","Orleans County","New York",3
"36073",2019,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York",0
"36073",2019,"B17001F_FemPov","Some Other Race alone",86.9333333333333,57.0666666666667,65.6441717791411,"Orleans","Orleans County","New York",326
"36073",2019,"B17001G_FemPov","Two or More Races",23.3463035019455,21.9844357976654,94.1666666666667,"Orleans","Orleans County","New York",120
"36073",2019,"B17001H_FemPov","White alone, not Hispanic or Latino",13.1973995271868,1.79078014184397,13.5691894312584,"Orleans","Orleans County","New York",2233
"36073",2019,"B17001I_FemPov","Hispanic or Latino",59.8119858989424,25.0293772032902,41.8467583497053,"Orleans","Orleans County","New York",509
"36073",2020,"B17001B_FemPov","Black or African American alone",25.6443298969072,20.4896907216495,79.8994974874372,"Orleans","Orleans County","New York",199
"36073",2020,"B17001C_FemPov","American Indian and Alaska Native alone",10.6382978723404,17.0212765957447,160,"Orleans","Orleans County","New York",5
"36073",2020,"B17001D_FemPov","Asian alone",3.10077519379845,4.65116279069767,150,"Orleans","Orleans County","New York",4
"36073",2020,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York",0
"36073",2020,"B17001F_FemPov","Some Other Race alone",81.8840579710145,54.3478260869565,66.3716814159292,"Orleans","Orleans County","New York",339
"36073",2020,"B17001G_FemPov","Two or More Races",16.696269982238,10.3019538188277,61.7021276595745,"Orleans","Orleans County","New York",94
"36073",2020,"B17001H_FemPov","White alone, not Hispanic or Latino",14.0188589162091,2.33349248030556,16.6453810131971,"Orleans","Orleans County","New York",2349
"36073",2020,"B17001I_FemPov","Hispanic or Latino",45.5456570155902,24.2761692650334,53.3007334963325,"Orleans","Orleans County","New York",409
"36073",2021,"B17001B_FemPov","Black or African American alone",13.9272271016311,11.2923462986198,81.0810810810811,"Orleans","Orleans County","New York",111
"36073",2021,"B17001C_FemPov","American Indian and Alaska Native alone",9.43396226415094,15.0943396226415,160,"Orleans","Orleans County","New York",5
"36073",2021,"B17001D_FemPov","Asian alone",2.17391304347826,3.6231884057971,166.666666666667,"Orleans","Orleans County","New York",3
"36073",2021,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York",0
"36073",2021,"B17001F_FemPov","Some Other Race alone",83.1818181818182,50.6818181818182,60.9289617486339,"Orleans","Orleans County","New York",366
"36073",2021,"B17001G_FemPov","Two or More Races",13.2958801498127,9.73782771535581,73.2394366197183,"Orleans","Orleans County","New York",71
"36073",2021,"B17001H_FemPov","White alone, not Hispanic or Latino",14.0106241699867,2.19727151998068,15.6828953037484,"Orleans","Orleans County","New York",2321
"36073",2021,"B17001I_FemPov","Hispanic or Latino",46.1031833150384,24.03951701427,52.1428571428571,"Orleans","Orleans County","New York",420
"36073",2022,"B17001B_FemPov","Black or African American alone",16.7155425219941,11.4369501466276,68.4210526315789,"Orleans","Orleans County","New York",114
"36073",2022,"B17001C_FemPov","American Indian and Alaska Native alone",0,38.3561643835616,NA,"Orleans","Orleans County","New York",0
"36073",2022,"B17001D_FemPov","Asian alone",0.847457627118644,2.54237288135593,300,"Orleans","Orleans County","New York",1
"36073",2022,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York",0
"36073",2022,"B17001F_FemPov","Some Other Race alone",26.980198019802,23.7623762376238,88.0733944954128,"Orleans","Orleans County","New York",109
"36073",2022,"B17001G_FemPov","Two or More Races",16.3328197226502,8.16640986132511,50,"Orleans","Orleans County","New York",106
"36073",2022,"B17001H_FemPov","White alone, not Hispanic or Latino",13.5495254319786,2.34850328547092,17.3327346205658,"Orleans","Orleans County","New York",2227
"36073",2022,"B17001I_FemPov","Hispanic or Latino",13.780487804878,11.4634146341463,83.1858407079646,"Orleans","Orleans County","New York",113
"36073",2023,"B17001B_FemPov","Black or African American alone",20.8728652751423,17.0777988614801,81.8181818181818,"Orleans","Orleans County","New York",110
"36073",2023,"B17001C_FemPov","American Indian and Alaska Native alone",0,31.8181818181818,NA,"Orleans","Orleans County","New York",0
"36073",2023,"B17001D_FemPov","Asian alone",0.840336134453782,2.52100840336134,300,"Orleans","Orleans County","New York",1
"36073",2023,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York",0
"36073",2023,"B17001F_FemPov","Some Other Race alone",4.38144329896907,4.89690721649485,111.764705882353,"Orleans","Orleans County","New York",17
"36073",2023,"B17001G_FemPov","Two or More Races",17.6980198019802,10.6435643564356,60.1398601398601,"Orleans","Orleans County","New York",143
"36073",2023,"B17001H_FemPov","White alone, not Hispanic or Latino",14.8857281789448,2.5164113785558,16.9048591261739,"Orleans","Orleans County","New York",2449
"36073",2023,"B17001I_FemPov","Hispanic or Latino",7.90067720090294,5.64334085778781,71.4285714285714,"Orleans","Orleans County","New York",70
"36073",2024,"B17001B_FemPov","Black or African American alone",25.1356238698011,18.8065099457505,74.8201438848921,"Orleans","Orleans County","New York",139
"36073",2024,"B17001C_FemPov","American Indian and Alaska Native alone",0,32.5842696629214,NA,"Orleans","Orleans County","New York",0
"36073",2024,"B17001D_FemPov","Asian alone",5.22388059701492,6.71641791044776,128.571428571429,"Orleans","Orleans County","New York",7
"36073",2024,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Orleans","Orleans County","New York",0
"36073",2024,"B17001F_FemPov","Some Other Race alone",4.11255411255411,3.8961038961039,94.7368421052632,"Orleans","Orleans County","New York",19
"36073",2024,"B17001G_FemPov","Two or More Races",29.8543689320388,14.1990291262136,47.5609756097561,"Orleans","Orleans County","New York",246
"36073",2024,"B17001H_FemPov","White alone, not Hispanic or Latino",14.4702047844536,2.90265051349855,20.0594985125372,"Orleans","Orleans County","New York",2353
"36073",2024,"B17001I_FemPov","Hispanic or Latino",10.0622406639004,7.88381742738589,78.3505154639175,"Orleans","Orleans County","New York",97
"36099",2017,"B17001B_FemPov","Black or African American alone",7.69230769230769,11.5384615384615,150,"Seneca","Seneca County","New York",12
"36099",2017,"B17001C_FemPov","American Indian and Alaska Native alone",11.7647058823529,17.6470588235294,150,"Seneca","Seneca County","New York",6
"36099",2017,"B17001D_FemPov","Asian alone",47.7941176470588,22.7941176470588,47.6923076923077,"Seneca","Seneca County","New York",65
"36099",2017,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Seneca","Seneca County","New York",0
"36099",2017,"B17001F_FemPov","Some Other Race alone",14.7058823529412,26.4705882352941,180,"Seneca","Seneca County","New York",5
"36099",2017,"B17001G_FemPov","Two or More Races",32.2429906542056,28.0373831775701,86.9565217391304,"Seneca","Seneca County","New York",69
"36099",2017,"B17001H_FemPov","White alone, not Hispanic or Latino",12.5320702585356,2.11828169199395,16.9028871391076,"Seneca","Seneca County","New York",1905
"36099",2017,"B17001I_FemPov","Hispanic or Latino",37.1967654986523,20.2156334231806,54.3478260869565,"Seneca","Seneca County","New York",138
"36099",2018,"B17001B_FemPov","Black or African American alone",8.55614973262032,10.6951871657754,125,"Seneca","Seneca County","New York",16
"36099",2018,"B17001C_FemPov","American Indian and Alaska Native alone",17.2413793103448,24.1379310344828,140,"Seneca","Seneca County","New York",10
"36099",2018,"B17001D_FemPov","Asian alone",59.375,39.0625,65.7894736842105,"Seneca","Seneca County","New York",114
"36099",2018,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,0,NA,"Seneca","Seneca County","New York",0
"36099",2018,"B17001F_FemPov","Some Other Race alone",0,50,NA,"Seneca","Seneca County","New York",0
"36099",2018,"B17001G_FemPov","Two or More Races",24.8322147651007,15.1006711409396,60.8108108108108,"Seneca","Seneca County","New York",74
"36099",2018,"B17001H_FemPov","White alone, not Hispanic or Latino",13.1254147312541,1.77836761778368,13.5490394337715,"Seneca","Seneca County","New York",1978
"36099",2018,"B17001I_FemPov","Hispanic or Latino",23.5294117647059,21.8954248366013,93.0555555555556,"Seneca","Seneca County","New York",72
"36099",2019,"B17001B_FemPov","Black or African American alone",33.5294117647059,27.6470588235294,82.4561403508772,"Seneca","Seneca County","New York",57
"36099",2019,"B17001C_FemPov","American Indian and Alaska Native alone",12.8571428571429,18.5714285714286,144.444444444444,"Seneca","Seneca County","New York",9
"36099",2019,"B17001D_FemPov","Asian alone",55.0925925925926,26.8518518518519,48.7394957983193,"Seneca","Seneca County","New York",119
"36099",2019,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,500,NA,"Seneca","Seneca County","New York",0
"36099",2019,"B17001F_FemPov","Some Other Race alone",18.6046511627907,37.2093023255814,200,"Seneca","Seneca County","New York",8
"36099",2019,"B17001G_FemPov","Two or More Races",20.2749140893471,18.213058419244,89.8305084745763,"Seneca","Seneca County","New York",59
"36099",2019,"B17001H_FemPov","White alone, not Hispanic or Latino",12.0720841428284,1.72171233335566,14.2619311875694,"Seneca","Seneca County","New York",1802
"36099",2019,"B17001I_FemPov","Hispanic or Latino",19.941348973607,19.0615835777126,95.5882352941177,"Seneca","Seneca County","New York",68
"36099",2020,"B17001B_FemPov","Black or African American alone",25.2293577981651,22.0183486238532,87.2727272727273,"Seneca","Seneca County","New York",55
"36099",2020,"B17001C_FemPov","American Indian and Alaska Native alone",15,23.3333333333333,155.555555555556,"Seneca","Seneca County","New York",9
"36099",2020,"B17001D_FemPov","Asian alone",40.9836065573771,20.7650273224044,50.6666666666667,"Seneca","Seneca County","New York",75
"36099",2020,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,1300,NA,"Seneca","Seneca County","New York",0
"36099",2020,"B17001F_FemPov","Some Other Race alone",25,50,200,"Seneca","Seneca County","New York",8
"36099",2020,"B17001G_FemPov","Two or More Races",29.4906166219839,16.8900804289544,57.2727272727273,"Seneca","Seneca County","New York",110
"36099",2020,"B17001H_FemPov","White alone, not Hispanic or Latino",11.5384615384615,1.92307692307692,16.6666666666667,"Seneca","Seneca County","New York",1716
"36099",2020,"B17001I_FemPov","Hispanic or Latino",55.0387596899225,32.8165374677003,59.6244131455399,"Seneca","Seneca County","New York",213
"36099",2021,"B17001B_FemPov","Black or African American alone",19.8443579766537,21.011673151751,105.882352941176,"Seneca","Seneca County","New York",51
"36099",2021,"B17001C_FemPov","American Indian and Alaska Native alone",25.4545454545455,27.2727272727273,107.142857142857,"Seneca","Seneca County","New York",14
"36099",2021,"B17001D_FemPov","Asian alone",0,21.09375,NA,"Seneca","Seneca County","New York",0
"36099",2021,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",80,120,150,"Seneca","Seneca County","New York",8
"36099",2021,"B17001F_FemPov","Some Other Race alone",20.4545454545455,45.4545454545455,222.222222222222,"Seneca","Seneca County","New York",9
"36099",2021,"B17001G_FemPov","Two or More Races",26.6375545851528,13.7554585152838,51.6393442622951,"Seneca","Seneca County","New York",122
"36099",2021,"B17001H_FemPov","White alone, not Hispanic or Latino",11.8502688542672,1.89576726871639,15.9976730657359,"Seneca","Seneca County","New York",1719
"36099",2021,"B17001I_FemPov","Hispanic or Latino",37.1345029239766,15.4970760233918,41.7322834645669,"Seneca","Seneca County","New York",127
"36099",2022,"B17001B_FemPov","Black or African American alone",50.7246376811594,25.1207729468599,49.5238095238095,"Seneca","Seneca County","New York",105
"36099",2022,"B17001C_FemPov","American Indian and Alaska Native alone",40.5405405405405,40.5405405405405,100,"Seneca","Seneca County","New York",15
"36099",2022,"B17001D_FemPov","Asian alone",1.61290322580645,3.2258064516129,200,"Seneca","Seneca County","New York",2
"36099",2022,"B17001E_FemPov","Native Hawaiian and Other Pacific Islander alone",0,1400,NA,"Seneca","Seneca County","New York",0
"36099",2022,"B17001F_FemPov","Some Other Race alone",57.1428571428571,53.5714285714286,93.75,"Seneca","Seneca County","New York",80
"36099",2022,"B17001G_FemPov","Two or More Races",41.030534351145,19.4656488549618,47.4418604651163,"Seneca","Seneca County","New York",215
