Reporting Period,Project Number,Legacy Project Number,CESIR Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,NYS Disadvantaged Community Status,Climate and Economic Justice Screening Tool Status,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,Total NYSERDA Incentive,Affordable Solar Residential Adder,Affordable Multifamily Housing Incentive,Community Adder,Inclusive Community Solar Adder,Expanded Solar For All Adder,Brownfield/Landfill Adder,Canopy Adder,Floating Solar Adder,Prevailing Wage Adder,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
1/31/2026,0000212411,,,,Henrietta,Monroe,NY,14467,Henrietta,Town,36055013204,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/18/2019,10/25/2019,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Canadian Solar Inc.,CS3K-325MS,22,"$24,503.00 ","$2,502.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.15,"8,671.00",,No,No,43.0396701,-77.6267326,POINT (-77.6267326 43.0396701)
1/31/2026,0000342440,,,,Webster,Monroe,NY,14580,Penfield,Town,36055011501,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/25/2021,10/14/2021,Complete,3rd ROC Solar LLC,No,Altenergy Power System Inc.,QS1 [240V],5,Hanwha Q CELLS,Q.PEAK DUO L-G8 430,18,"$21,672.00 ","$2,709.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.74,"9,131.00",,No,No,43.1873625,-77.4509341,POINT (-77.4509341 43.1873625)
1/31/2026,0001023139,,,,Rochester,Monroe,NY,14616,Greece,Town,36055013702,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Lease,1/7/2026,,Pipeline,,No,"Enphase Energy, Inc.",IQ8MC-72-M-US {240V},14,SEG Solar Inc.,SEG-440-BTD-BG,14,"$34,218.44 ","$4,928.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.16,"9,893.00",,No,No,43.2490334,-77.6401967,POINT (-77.6401967 43.2490334)
1/31/2026,0000049170,4054-19781,,,Rochester,Monroe,NY,14618,Brighton,Town,36055012800,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 1050,Rochester Gas and Electric,,4/20/2010,11/9/2010,Complete,"Earthsponse, LLC",No,Enphase Energy,M190-72-240-Sxx,18,Canadian Solar,CS6P-230,18,"$24,898.00 ","$7,245.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,4.14,"4,330.00",,No,No,43.129872,-77.5840252,POINT (-77.5840252 43.129872)
1/31/2026,0000248445,,,,Rochester,Monroe,NY,14624,Chili,Town,36055014501,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,5/29/2020,9/1/2020,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB7.7-1SP-US-41 [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,22,"$26,844.00 ","$2,464.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.04,"7,675.00",,No,No,43.1156192,-77.7605899,POINT (-77.7605899 43.1156192)
1/31/2026,0000035427,4976-66113,,,Geneseo,Livingston,NY,14454,Geneseo,Town,36051030400,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,6/3/2015,9/22/2015,Complete,Freedom Solar,No,SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,SolarWorld,SW 285 Mono,22,"$19,751.00 ","$4,389.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.27,"6,824.00",No,No,No,42.7942241,-77.8085664,POINT (-77.8085664 42.7942241)
1/31/2026,0000099476,,,,Webster,Monroe,NY,14580,Penfield,Town,36055011501,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/28/2017,3/16/2018,Complete,Renewable Rochester LLC,No,SunPower,SPR-X21-335-BLK-C-AC,10,SunPower,SPR-X21-335-BLK-C-AC,10,"$13,371.68 ","$1,340.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,3.35,"3,769.00",,No,No,43.1873625,-77.4509341,POINT (-77.4509341 43.1873625)
1/31/2026,0000024331,4635-35610,,,Webster,Monroe,NY,14580,Webster,Town,36055011301,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/1/2013,12/24/2013,Complete,Renewable Rochester LLC,No,SolarBridge Technologies,P235HV-240Fxx,43,SunPower,SPR-240E-WHT-U-ACPV,78,"$80,800.00 ","$24,804.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,19.08,"22,587.00",No,No,No,43.2508125,-77.4079813,POINT (-77.4079813 43.2508125)
1/31/2026,0000815570,,,,Webster,Monroe,NY,14580,Webster,Town,36055011301,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,1/14/2025,,Pipeline,,No,Enphase Energy Inc.,IQ8A-72-M-US [240V],38,Silfab Solar Inc.,SIL-430QD,38,"$52,850.00 ","$3,268.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,16.34,"16,005.00",,No,No,43.2508125,-77.4079813,POINT (-77.4079813 43.2508125)
1/31/2026,0000294855,,,,Rochester,Monroe,NY,14609,Rochester,City,36055008200,Inside a NYS DAC,Inside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,3/6/2021,8/23/2021,Complete,Solar Liberty,No,SunPower,SPR-A400-G-AC [240V],16,Sunpower,SPR-A400-G-AC,16,"$24,000.00 ","$2,240.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.4,"6,970.00",,No,No,43.1845395,-77.5791469,POINT (-77.5791469 43.1845395)
