Reporting Period,Project Number,Legacy Project Number,CESIR Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,NYS Disadvantaged Community Status,Climate and Economic Justice Screening Tool Status,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,Total NYSERDA Incentive,Affordable Solar Residential Adder,Affordable Multifamily Housing Incentive,Community Adder,Inclusive Community Solar Adder,Expanded Solar For All Adder,Brownfield/Landfill Adder,Canopy Adder,Floating Solar Adder,Prevailing Wage Adder,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
1/31/2026,0000923166,,,,Webster,Monroe,NY,14580,Webster,Town,36055011205,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/10/2025,10/8/2025,Complete,Solar Liberty,No,Enphase Energy Inc.,IQ8X-80-M-US [240V],29,REC Group,REC460AA Pure-RX,29,"$43,230.94 ","$2,001.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,13.34,"13,452.00",,No,No,43.2221603,-77.4826547,POINT (-77.4826547 43.2221603)
1/31/2026,0000156359,,,,Webster,Monroe,NY,14580,Webster,Town,36055011400,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/30/2018,12/13/2018,Complete,"O'Connell Electric Co., Inc.",No,Enphase Energy Inc.,IQ6-60-x-US [240V] [SI1],21,SolarWorld Americas Inc,Sunmodule Plus SWA 300 mono,21,"$18,500.00 ","$2,205.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.3,"6,861.00",,No,No,43.2115153,-77.4091556,POINT (-77.4091556 43.2115153)
1/31/2026,0000958054,,,,Pittsford,Monroe,NY,14534,Mendon,Town,36055012402,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,9/13/2025,12/23/2025,Complete,Solar Liberty,No,SunPower,SPR-M410-H-AC {240V},33,SunPower,SPR-M410-H-AC,33,"$40,864.42 ","$2,030.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,13.53,"16,080.00",,No,No,42.9911314,-77.5325184,POINT (-77.5325184 42.9911314)
1/31/2026,0000220624,,,,Rochester,Monroe,NY,14618,Brighton,Town,36055012900,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,12/24/2019,6/22/2020,Complete,Renewable Rochester LLC,No,SunPower,SPR-X22-360-E-AC [240V],20,Sunpower,SPR-X22-360-E-AC,20,"$32,600.00 ","$2,520.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.2,"6,727.00",,No,No,43.1209036,-77.5819477,POINT (-77.5819477 43.1209036)
1/31/2026,0000811391,,,,Rochester,Monroe,NY,14626,Greece,Town,36055013506,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/19/2024,2/3/2025,Complete,GAF Energy LLC,No,Delta Electronics,M6-TL-US [240V],1,GAF Energy LLC,TLS-1,64,"$10,289.99 ",$589.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.94,"2,592.00",,No,No,43.2289273,-77.7280052,POINT (-77.7280052 43.2289273)
1/31/2026,0001007067,,,,Rochester,Monroe,NY,14616,Greece,Town,36055013702,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/7/2025,,Pipeline,,No,"Enphase Energy, Inc.",IQ8AC-72-M-US {240V},19,SEG Solar Inc.,SEG-440-BTD-BG,19,"$30,143.00 ","$1,254.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.36,"8,808.00",,No,No,43.2490334,-77.6401967,POINT (-77.6401967 43.2490334)
1/31/2026,0000011370,4667-24648,,,Hilton,Monroe,NY,14468,Parma,Town,36055014802,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,,10/6/2011,4/6/2012,Complete,"Arista Power, Inc.",No,Fronius USA,IG Plus 10.0-240,1,Helios USA,7T2 300,36,"$46,920.00 ","$12,250.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,10.8,"12,844.00",,No,No,43.2392389,-77.8043179,POINT (-77.8043179 43.2392389)
1/31/2026,0000090656,,,,Rochester,Monroe,NY,14624,Ogden,Town,36055014905,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,7/8/2017,9/27/2017,Complete,Freedom Solar,No,SMA America,SB7000TL-US (240V),1,SolarWorld,SW 325 XL mono,22,"$22,165.00 ","$2,860.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.15,"8,350.00",,No,No,43.1435351,-77.7686635,POINT (-77.7686635 43.1435351)
1/31/2026,0000003066,4502-36236,,,Hilton,Monroe,NY,14468,Greece,Town,36055013402,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/1/2013,4/21/2014,Complete,"You Save Green, Inc",No,SMA America,SB6000US (240V),1,SolarWorld,SW 270 Mono,24,"$23,300.00 ","$7,452.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.48,"7,667.00",No,No,No,43.2974679,-77.6944366,POINT (-77.6944366 43.2974679)
1/31/2026,0000004850,02077-018,,,Rochester,Monroe,NY,14625,Brighton,Town,36055012500,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 716,Rochester Gas and Electric,,7/11/2007,11/7/2007,Complete,"Rochester Solar Technologies, LLC",No,SMA America,SWR2100U,1,Evergreen Solar,ES-190-SL,13,"$25,775.79 ","$9,880.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.47,"2,545.00",,No,No,43.1461506,-77.5295356,POINT (-77.5295356 43.1461506)
1/31/2026,0001007199,,,,Pittsford,Monroe,NY,14534,Pittsford,Town,36055012304,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,12/11/2025,,Pipeline,,No,"Enphase Energy, Inc.",IQ8MC-72-M-US {240V},23,"HD HYUNDAI ENERGY SOLUTIONS CO., LTD.",HiN-T435NF(BK),23,"$31,500.00 ","$1,501.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,10.01,"10,825.00",,No,Yes,43.0634941,-77.5075758,POINT (-77.5075758 43.0634941)
1/31/2026,0000095371,,,,Brockport,Monroe,NY,14420,Sweden,Town,36055015303,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,8/12/2017,10/9/2017,Complete,Geotherm Inc,No,Fronius USA,Fronius Primo 7.6-1 (240V),1,Mission Solar Energy,MSE360SQ4S,20,"$24,000.00 ","$2,880.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.2,"7,484.00",,No,No,43.2036061,-77.9387981,POINT (-77.9387981 43.2036061)
1/31/2026,0000816765,,,,Rochester,Monroe,NY,14609,Irondequoit,Town,36055011000,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/4/2024,10/29/2024,Complete,Geotherm Inc,No,Enphase Energy Inc.,IQ8HC-72-M-US [240V],19,REC Group,REC430AA Pure 2,19,"$20,500.00 ","$1,634.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.17,"9,806.00",,No,No,43.1885104,-77.535297,POINT (-77.535297 43.1885104)
1/31/2026,0000000414,4524-21818,,,Victor,Ontario,NY,14564,Victor,Town,36069050102,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,,1/24/2011,6/24/2011,Complete,E-Vanhee LLC,No,Outback Power Systems,GVFX 3648,1,SunPower,SER-228P,24,"$37,281.90 ","$9,576.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,5.47,"5,844.00",,No,No,43.0064445,-77.4128735,POINT (-77.4128735 43.0064445)
1/31/2026,0000518464,,,,Lyndonville,Orleans,NY,14098,Yates,Town,36073401200,Inside a NYS DAC,Inside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,11/5/2022,8/7/2023,Complete,Solar Liberty,No,SunPower,SPR-M425-H-AC [240V],14,SunPower,SPR-M425-H-AC,14,"$28,976.50 ","$2,380.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,5.95,"6,170.00",,No,No,43.3440938,-78.3604016,POINT (-78.3604016 43.3440938)
1/31/2026,0000975018,,,,Sodus,Wayne,NY,14551,Sodus,Town,36117020800,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/3/2025,,Pipeline,,No,"Enphase Energy, Inc.",IQ8MC-72-M-US {240V},15,JA Solar,JAM54D41-440/MB,15,"$36,200.00 ",$990.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.6,"6,024.00",,No,Yes,43.2572302,-77.0421653,POINT (-77.0421653 43.2572302)
1/31/2026,0000024874,4897-37261,,,Linwood,Livingston,NY,14486,York,Town,36051030201,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,1/2/2014,6/4/2014,Complete,"Taitem Engineering, PC",No,SMA America,SB3000TL-US-22 (240V),2,Canadian Solar,CS6P-255M,24,"$22,889.76 ","$6,120.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.12,"6,697.00",No,No,No,42.8633322,-77.8660672,POINT (-77.8660672 42.8633322)
1/31/2026,0001006351,,,,Pittsford,Monroe,NY,14534,Perinton,Town,36055011708,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/5/2025,,Pipeline,,No,SolarEdge Technologies Ltd.,SE11400H-US {240V},1,Silfab Solar Inc.,SIL-440QD,27,"$41,818.00 ","$1,782.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,11.88,"10,549.00",,No,No,43.049921,-77.4199961,POINT (-77.4199961 43.049921)
1/31/2026,0000272140,,,,Pittsford,Monroe,NY,14534,Pittsford,Town,36055012301,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/3/2020,11/25/2020,Complete,3rd ROC Solar LLC,No,Generac Power Systems,X7602 [240V],1,Hanwha Q CELLS,Q.PEAK DUO L-G7.2 395,20,"$27,729.00 ","$2,765.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.9,"7,598.00",,No,No,43.0890552,-77.5289595,POINT (-77.5289595 43.0890552)
1/31/2026,0001009036,,,,Rochester,Monroe,NY,14606,Gates,Town,36055014302,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/15/2025,1/21/2026,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE11400H-US {240V},1,Silfab Solar Inc.,SIL-440QD,36,"$73,363.00 ","$2,376.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,15.84,"16,563.00",,No,No,43.1533735,-77.7043716,POINT (-77.7043716 43.1533735)
1/31/2026,0000214786,,,,Scottsville,Monroe,NY,14546,Chili,Town,36055014602,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,10/17/2019,12/9/2019,Complete,Solar Liberty,No,SunPower,SPR-E20-327-C-AC [240V],16,Sunpower,SPR-E20-327-C-AC,16,"$17,945.76 ","$1,831.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,5.23,"4,597.00",,No,No,43.0744693,-77.7435876,POINT (-77.7435876 43.0744693)
1/31/2026,0000889151,,,,Rochester,Monroe,NY,14610,Rochester,City,36055007600,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,3/7/2025,4/3/2025,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE6000 [240V],1,Silfab Solar Inc.,SIL-430QD,12,"$18,726.00 ",$702.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,5.16,"4,328.00",,No,Yes,43.1564764,-77.5549224,POINT (-77.5549224 43.1564764)
1/31/2026,0000189043,,,,Honeoye Falls,Monroe,NY,14472,Mendon,Town,36055012402,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,7/4/2019,8/15/2019,Complete,Renewable Rochester LLC,No,Altenergy Power System Inc.,YC600 [240V],32,Hanwha Q CELLS,Q.PLUS L-G4.2 345W,64,"$59,616.00 ","$7,728.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,22.08,"27,304.00",,No,No,42.9911314,-77.5325184,POINT (-77.5325184 42.9911314)
1/31/2026,0001029510,,,,Rochester,Monroe,NY,14623,Chili,Town,36055014602,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,1/30/2026,,Pipeline,,No,"Enphase Energy, Inc.",IQ8X-80-M-US {240V},38,REC Group,REC460AA Pure-RX,38,"$60,114.80 ","$13,984.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,17.48,"17,599.00",,No,No,43.0744693,-77.7435876,POINT (-77.7435876 43.0744693)
1/31/2026,0000062043,5098-89315,,,Lima,Livingston,NY,14485,Lima,Town,36051030600,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Lease,2/1/2016,4/21/2016,Complete,NRG Residential Solar Solutions,No,Enphase Energy,M215-60-2LL-S2X-IG,25,Jinko Solar,JKM260P-60B,25,"$21,178.39 ","$2,600.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.5,"7,870.00",No,No,No,42.8958887,-77.6086725,POINT (-77.6086725 42.8958887)
1/31/2026,0000889055,,,,Rochester,Monroe,NY,14609,Irondequoit,Town,36055010901,Inside a NYS DAC,Inside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,3/7/2025,3/28/2025,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Silfab Solar Inc.,SIL-430QD,19,"$24,823.00 ","$1,634.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.17,"8,814.00",,No,Yes,43.1922795,-77.5728426,POINT (-77.5728426 43.1922795)
1/31/2026,0000297616,,,,Pittsford,Monroe,NY,14534,Pittsford,Town,36055012306,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,3/24/2021,4/14/2021,Complete,3rd ROC Solar LLC,No,Altenergy Power System Inc.,QS1 [240V],6,Silfab Solar Inc.,SIL-330BL,24,"$18,612.00 ","$2,772.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.92,"8,821.00",,No,No,43.0568219,-77.5521612,POINT (-77.5521612 43.0568219)
1/31/2026,0000683014,,,,Conesus,Livingston,NY,14435,Conesus,Town,36051031100,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,12/29/2023,1/22/2024,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE3800H-US [240V],2,Silfab Solar Inc.,SIL-500HM,32,"$56,800.00 ","$3,200.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,16,"18,513.00",,No,No,42.6582251,-77.6040076,POINT (-77.6040076 42.6582251)
1/31/2026,0000377747,,,,Geneseo,Livingston,NY,14454,Geneseo,Town,36051030202,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,1/6/2022,1/28/2022,Complete,"Steed Energy, LLC",No,SMA America,SB7.7-1SP-US-41 [240V],3,Mission Solar Energy LLC,MSE345SX5T,70,"$45,966.00 ","$12,075.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,24.15,"28,989.00",,No,No,42.8013055,-77.8552975,POINT (-77.8552975 42.8013055)
1/31/2026,0000025607,4635-39871,,,Avon,Livingston,NY,14414,Avon,Town,36051030202,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,3/3/2014,7/7/2014,Complete,Renewable Rochester LLC,No,SMA America,SB8000US-12 (240V),1,SunPower,SPR-327NE-WHT-D,32,"$44,900.00 ","$10,464.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,10.46,"12,752.00",No,No,No,42.8013055,-77.8552975,POINT (-77.8552975 42.8013055)
1/31/2026,0001012039,,,,Fairport,Monroe,NY,14450,Perinton,Town,36055011705,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,11/26/2025,,Pipeline,,No,SolarEdge Technologies Ltd.,SE7600H-US {240V},1,Silfab Solar Inc.,SIL-440QD,20,"$34,320.00 ","$1,320.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.8,"7,652.00",,No,No,43.0675621,-77.4660794,POINT (-77.4660794 43.0675621)
1/31/2026,0000969290,,,,Rochester,Monroe,NY,14612,Greece,Town,36055013508,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,9/16/2025,12/19/2025,Complete,"PlugPV, LLC",No,"Enphase Energy, Inc.",IQ8MC-72-M-US {240V},25,JA Solar,JAM54D41-440/MB,25,"$35,200.00 ","$1,650.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,11,"12,156.00",,No,No,43.258443,-77.7338467,POINT (-77.7338467 43.258443)
1/31/2026,0001004182,,,,Rochester,Monroe,NY,14610,Brighton,Town,36055012500,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Lease,11/14/2025,,Pipeline,,No,"Enphase Energy, Inc.",IQ8MC-72-M-US {240V},27,"HD HYUNDAI ENERGY SOLUTIONS CO., LTD.",HiS-T440NF(BK),27,"$68,898.00 ","$1,782.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,11.88,"13,855.00",,No,No,43.1461506,-77.5295356,POINT (-77.5295356 43.1461506)
1/31/2026,0000935544,,,,Webster,Monroe,NY,14580,Webster,Town,36055011400,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/12/2025,10/6/2025,Complete,Solar Liberty,No,SunPower,SPR-X21-335-BLK-E-AC {240V},24,SunPower,SPR-X21-335-BLK-E-AC,24,"$24,269.74 ","$1,206.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.04,"9,321.00",,No,Yes,43.2115153,-77.4091556,POINT (-77.4091556 43.2115153)
1/31/2026,0000742223,,,,Rochester,Monroe,NY,14618,Brighton,Town,36055012900,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,5/8/2024,9/4/2024,Complete,Solar Liberty,No,Enphase Energy Inc.,IQ8X-80-M-US [240V],21,REC Group,REC460AA Pure-RX,21,"$30,042.60 ","$1,932.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,9.66,"8,703.00",,No,Yes,43.1209036,-77.5819477,POINT (-77.5819477 43.1209036)
1/31/2026,0000282974,,,,Lima,Livingston,NY,14485,Livonia,Town,36051030700,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,1/14/2021,9/27/2021,Complete,Renewable Rochester LLC,No,Altenergy Power System Inc.,QS1 [240V],14,Silfab Solar Inc.,SIL-330NL,51,"$39,550.00 ","$5,891.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,16.83,"17,899.00",,No,No,42.8090331,-77.653613,POINT (-77.653613 42.8090331)
1/31/2026,0000099215,,,,Penn Yan,Yates,NY,14527,Jerusalem,Town,36123150400,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,NYS Electric and Gas,Purchase,9/28/2017,7/11/2018,Complete,Geotherm Inc,No,SolarEdge Technologies,SE7600A-US (240V),2,Mission Solar Energy,MSE295SQ5T,57,"$50,900.00 ","$6,726.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,16.82,"16,300.00",,No,No,42.5997418,-77.116341,POINT (-77.116341 42.5997418)
1/31/2026,0000013105,4502-34993,,,Churchville,Monroe,NY,14428,Riga,Town,36055015000,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,9/6/2013,11/19/2013,Complete,"You Save Green, Inc",No,SMA America,SB4000US-12 (240V),2,SolarWorld,SW 270 Mono,30,"$28,793.20 ","$9,828.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.1,"9,681.00",No,No,No,43.0772852,-77.8725573,POINT (-77.8725573 43.0772852)
1/31/2026,0000462785,,,,Penfield,Monroe,NY,14526,Penfield,Town,36055011505,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,5/5/2022,6/9/2022,Complete,Sustainable Energy Developments (DBA GreenSpark Solar),No,SMA America,SB3.0-1TP-US-40 [240V],1,Silfab Solar Inc.,SIL-370HC,6,"$19,996.00 ","$1,110.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,2.22,"2,555.00",,No,No,43.1430975,-77.4033778,POINT (-77.4033778 43.1430975)
1/31/2026,0000048822,4124-19239,,State Route 414,Seneca Falls,Seneca,NY,13148,Fayette,Town,,,,Non-Residential,Residential/Small Commercial,PON 1050,NYS Electric and Gas,,2/3/2010,9/14/2010,Complete,"O'Connell Electric Co., Inc.",No,SMA America,SB5000US (240V),3,SolarWorld,SW230 mono,66,"$102,597.00 ","$37,950.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,15.18,"10,916.00",,No,No,42.84486699,-76.80560503,POINT (-76.805605026 42.844866986)
1/31/2026,0000674975,,12686,0 Route 5 & 20,East Bloomfield,Ontario,NY,14469,,,,,,Non-Residential,Commercial/Industrial (MW Block),PON 3082,Rochester Gas and Electric,Power Purchase Agreement,1/6/2024,,Pipeline,Bullrock Corporation,No,"Sungrow Power Supply Co., Ltd.",,1,Qcells North America,Q.PEAK DUO XL-G11.3 585,"5,616","$3,234,816.00 ","$574,938.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,"3,285.36","4,604,760.00",,Yes,No,,,
1/31/2026,0001023122,,,,Rochester,Monroe,NY,14616,Greece,Town,36055013901,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Lease,1/7/2026,,Pipeline,,No,"Enphase Energy, Inc.",IQ8MC-72-M-US {240V},18,SEG Solar Inc.,SEG-440-BTD-BG,18,"$43,317.84 ","$6,336.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.92,"7,668.00",,No,No,43.2226336,-77.6507716,POINT (-77.6507716 43.2226336)
1/31/2026,0000868070,,,,Rochester,Monroe,NY,14612,Rochester,City,36055008600,Inside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,1/25/2025,3/10/2025,Complete,3rd ROC Solar LLC,No,SolarEdge Technologies Ltd.,SE7600H-US [240V],1,Silfab Solar Inc.,SIL-430QD,16,"$24,299.00 ","$1,376.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,6.88,"6,109.00",,No,Yes,43.2234832,-77.6249452,POINT (-77.6249452 43.2234832)
1/31/2026,0000450905,,,,Pittsford,Monroe,NY,14534,Pittsford,Town,36055012301,Outside a NYS DAC,Outside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,7/20/2022,2/9/2023,Complete,Solar Liberty,No,SunPower,SPR-X22-360-E-AC [240V],23,SunPower,SPR-X22-360-E-AC,23,"$27,158.40 ","$3,312.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,8.28,"9,019.00",,No,No,43.0890552,-77.5289595,POINT (-77.5289595 43.0890552)
1/31/2026,0000181404,,,,West Henrietta,Monroe,NY,14586,Henrietta,Town,36055013103,Outside a NYS DAC,Inside a CEJST DAC,Residential,Residential/Small Commercial,PON 2112,Rochester Gas and Electric,Purchase,6/7/2019,6/26/2019,Complete,Renewable Rochester LLC,No,SunPower,SPR-X22-360-E-AC [240V],10,Sunpower,SPR-X22-360-E-AC,10,"$16,800.00 ",$895.00 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,3.6,"3,163.00",,No,No,43.0798676,-77.6788655,POINT (-77.6788655 43.0798676)
1/31/2026,0000030528,4627-53636,,,Kendall,Orleans,NY,14476,Kendall,Town,,,,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,11/19/2014,1/26/2016,Complete,"O'Connell Electric Co., Inc.",No,SMA America,SB7000TL-US-22-240V (240V),1,SolarWorld,SW 280 Mono,27,"$25,110.00 ","$6,048.00 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0.00 ,$0 ,7.56,"8,571.00",No,No,No,43.343684,-78.1223056,POINT (-78.1223056 43.343684)
